,,,,,,
,6400,K & L FARMS LLC,1,,,1
,6410,LEE CHILDRESS FARMS LLC,1,1,,
,6419,J B DONOHO NURSERY,1,1,,
,6423,RICHGROVE TOBACCO LLC,1,1,,
,6452,(blank),1,1,,
,6470,HINTON ENTERPRISES LLC,1,1,,
,6472,C & E TOBACCO FARMS LLC,1,1,,
,6497,A & M FARMS LLC,1,,,1
,6547,JEFF DAVIS TOBACCO LLC,1,1,,
,6602,MAHAN FARMS LLC,1,1,,
,6603,FOUR P S FARMS,1,,,1
,6622,(blank),1,1,,
,6640,R & M TOBACCO LLC,1,1,,
,6671,RAINEY FARMS,1,1,,
,6674,(blank),1,1,,
,6675,(blank),1,1,,
,6688,(blank),1,1,,
,6764,H & H AGRI BUSINESS LLC,1,1,,
,,"H & H AGRI BUSINESS, LLC",1,1,,
,6803,CHASE FUTRELL FARMS,1,,,1
,,RBJ TOBACCO FARMS LLC,1,1,,
,6850,(blank),1,1,,
,6875,LYONS FAMILY FARM LLC,1,1,,
,6908,GARY L BRAME FARMS LLC,1,1,,
,6980,(blank),1,1,,
,6998,MANN FARMS LLC,1,1,,
,7020,M & B FARMS LLC,1,1,,
,7059,(blank),1,1,,
,7084,(blank),1,1,,
,7087,(blank),1,1,,
,7088,(blank),1,1,,
,7097,(blank),1,,,1
,7110,(blank),1,1,,
,7118,(blank),1,,,1
,7119,(blank),1,1,,
,7136,WILLIAMSON FARMS LLC,1,,,1
,7143,(blank),1,1,,
,7149,DENNISON FAMILY FARMS PARTNERSHIP,1,1,,
,7166,(blank),1,1,,
,7171,HILLVIEW FARMS,1,1,,
,7185,BRAMER SEARCY SOD INC,1,1,,
,7222,LARRY TUCKER FARMS,1,1,,
,7234,(blank),1,1,,
,7246,WW FARMS,1,1,,
,7284,MAS ASSOCIATION,1,1,,
,7288,(blank),1,,,1
,7291,(blank),1,1,,
,7301,WESTBROOK TOBACCO FARMS LLC,1,1,,
,7306,(blank),1,1,,
,7333,MOUNTAIN CREEK NURSERY LP,1,1,,
,7342,MILLBROOK CRICKET FARM INC,1,1,,
,7362,OVERTON ENTERPRISES LLC,1,1,,
,7368,TURNERS LANDSCAPING LLC,1,1,,
,7373,(blank),1,1,,
,7411,(blank),1,1,,
,7412,(blank),1,1,,
,7415,(blank),1,1,,
,7476,ROWLETT TOBACCO FARMS LLC,1,1,,
,,(blank),,,1,
,7500,AMBER ACRES,1,1,,
,7524,(blank),1,2,,
,7529,BITTEL & BITTEL LLC,1,1,,
,7576,SHANNON PERRY DBA PERRY FARMS,1,1,,
,7586,(blank),1,,,1
,7604,(blank),1,1,,
,7717,TOMMY LITCHFIELD DBA LITCHFIELD BR,1,1,,
,7772,PLEASURE VIEW FARMS LLC,2,2,,
,7778,ERIC HEARD,1,1,,
,7843,RB FARMS,1,1,,
,7891,(blank),1,1,,
,7901,WHITMORE FARMS LLC,1,1,,
,7907,BUTTERWORTH FARMS,1,1,,
,7920,ATLAS FARM LLC,1,1,,
,7937,(blank),1,1,,
,7955,(blank),1,1,,
,7962,JACK GANT FARMS,1,1,,
,7969,NEWCOMB OIL CO LLC DBA STONE CREEK,1,1,,
,7970,TOBACCO WAY FARMS LLC,1,1,,
,8121,SOUTHWEST FARMS LLC,1,,,1
,8123,BLH FARMS LLC,1,1,,
,8142,TURNER FARMS TOBACCO LLC,1,1,,
,8167,(blank),1,1,,
,8184,CECIL TOBACCO CO LLC,2,2,,
,8209,(blank),1,1,,
,8216,CARRAWAY TOBACCO FARMS,1,1,,
,8225,(blank),1,1,,
,8253,DURHAM BROTHERS FARM LLC,2,2,,
,8254,HUNTERTON FARM INC,1,1,,
,8345,R & A BRYANT LLC,1,,,1
,8359,(blank),1,1,,
,8378,PWM FARM PROPERTIES INC,1,1,,
,8379,(blank),1,1,,
,8418,(blank),1,1,,
,8427,LEAR FARMS LLC,1,1,,
,8434,(blank),1,1,,
,8456,WURTH BROS FARMS LLC,1,1,,
,8463,BOLINGER TOBACCO LLC,2,2,,
,8486,ALVIS MONROE FARMS LLC,1,1,,
,8490,(blank),1,1,,
,8523,(blank),1,1,,
,8652,JORDAN FARMS TOBACCO LLC,1,1,,
,8738,S AND J RICHARDS FARMS LLC,1,,,1
,8779,N & A THOMAS FARMS LLC,1,1,,
,8780,BARKLEY HANCOCK,1,,,1
,8782,(blank),1,1,,
,8807,CASTLEPARK FARM LLC,1,1,,
,8839,JACKIE CARSON FARMS,1,1,,
,8863,RUCKER TOBACCO LLC,2,2,,
,8869,O BRYAN COMPOSTING LLC,2,2,,
,8875,HUGHES TRUCKING LLC,1,1,,
,8887,(blank),2,2,,
,8889,(blank),1,1,,
,8894,KEBEN FARMS LLC,1,1,,
,8895,P & S FARNS LLC,1,,,1
,8943,(blank),1,1,,
,8956,EUGENE WRIGHT AND SONS LLC,1,1,,
,8958,(blank),1,1,,
,9014,SUSTAINABLE HARVEST FARM LLC,1,1,,
,9040,SEVEN SPRINGS FARMS,2,2,,
,9051,DAVID BRUMFIELD FARMS,1,1,,
,9085,(blank),1,1,,
,9087,(blank),1,1,,
,9098,N P PRODUCERS ASSN,1,1,,
,9118,WARREN BROTHERS,1,,,1
,9134,KSM FARMS LLC,1,1,,
,9176,SANDY ABRAMS LANDSCAPING CO INC,1,1,,
,9209,WHITE OAK TOBACCO LLC,1,1,,
,9238,AMMON WHOLESALE NURSERY INC,1,1,,
,9239,NUNN FARMS LLC,1,1,,
,9247,BRECK TOBACCO LLC,1,1,,
,9261,ELDRIDGE FARMS LLC,1,1,,
,9284,CHIAPAS TOBACCO CO,1,1,,
,,KUEGEL TAX & ACCOUNTING INC,1,1,,
,9301,CONSOLATION FARMS LLC,2,1,,1
,9353,FOLZ & FOLZ FARMS LLC,1,1,,
,9361,STEPHEN TOBACCO CO LLC,1,1,,
,9369,WOODVIEW PLANTERS LLC,1,,,1
,9371,(blank),1,,,1
,9384,(blank),1,1,,
,9407,(blank),1,,,1
,9436,H & B TREE SVC & LAWN CARE LLC,1,1,,
,9457,KEITH HARRIS FARMS INC,1,1,,
,9575,(blank),1,1,,
,9623,(blank),1,1,,
,9626,(blank),1,,,1
,9660,(blank),1,1,,
,9677,SHACKELFORD FARMS,1,1,,
,9684,(blank),1,1,,
,9694,(blank),1,,,1
,9709,FRIDY FARMS LLC,1,,,1
,9757,(blank),1,1,,
,9759,GRAYSTONE FARMS,1,1,,
,9776,ROBEY FARMS,1,1,,
,9801,(blank),1,,,1
,9821,METCALFE LANSCAPE & GARDEN CTR,1,1,,
,9833,DAVID FEAGIN FARMS,1,,,1
,9841,(blank),1,,,1
,9879,GERMANTOWN FARMS LLC,1,1,,
,9890,(blank),1,1,,
,9897,SHRYOCK FARM INC,1,1,,
,9903,ARNOLD FARMS INC,1,1,,
,,(blank),1,,,1
,9998,(blank),1,1,,
Kentucky Total,,,466,407,1,66
Louisiana,,J & J FARMS / MORRIS PLANTING CO G,,1,,
,,LEVIN SAVOY FARM/ CAJUN CLASSIC CR,1,1,,
,,MORROW FARMS / FLETCHER FARMS,1,1,,
,,PLANTATION CRAWFISH LLC/DESHOTELS,1,1,,
,,SEGURA FARMS LLC AND JAIME SEGUR F,1,1,,
,,SEGURA FARMS LLC AND JAIME SEGURA,1,1,,
,,SEGURE FARMS LLC AND JAIME SEGURA,1,,,1
,46,B & B FARMS L L C,,1,,
,66,3D SUGAR FARMS INC,2,2,,
,83,ROSS C BRUNET,,1,,
,142,CAJUN DUMP TRUCK LLC,1,1,,
,202,RED GUM PLANTING CO NO2,1,1,,
,253,M J NAQUIN INC,1,1,,
,289,JOEY SCHNEIDER,1,1,,
,297,M & W FARMS INC,1,1,,
,301,BRADLEY ZAUNBRECHER FARMS,1,1,,
,319,WOODS FARMS INC,1,1,,
,321,DOUG YOUNG NURSERY L L C,1,1,,
,334,GERALD S TREE FARM LLC,,1,,
,346,RAISING CANE FARMS INC,1,1,,
,396,SOLIMAR EE LLC,1,,,1
,474,TROY WEST FARMS,,,,1
,483,JOHN CARBALAN FARMS,,1,,
,493,PATOUT EQUIPMENT CO,1,1,,
,518,TIQUA MANUEL FARM,,1,,
,520,STEVEN HALBERT FARMS,1,1,,
,539,LOUISIANA AQUACULTURE INVESTMENTS,1,1,,
,549,LYNN FARMS,1,1,,
,614,MCCALEB S FLYING SVC LLC,1,1,,
,,MCCALEB S FLYING SVCS LLC,,1,,
,624,SMITH FARMS,1,1,,
,693,THOMASSON FARMS,1,1,,
,768,WHITE MARSH CRAWFISH LLC,1,1,,
,778,KALI & JASON LALANDE FARMS,1,1,,
,835,ELLIS FARM LLC,1,1,,
,899,HEBERT BROS FARMS INC,1,1,,
,921,ELISE PLANTING CO INC,1,1,,
,961,FLOYED RICE LLC,2,2,,
,962,JOHNNY R COCO FARMS,1,1,,
,1001,TRAVIS STANSEL RICHARD,,1,,
,1089,SEVENTY ONE PLANTATION PLANTING CO,2,2,,
,1179,LEJEUNE AERIAL APPLICATIONS LLC,2,2,,
,1279,IVERSTINE FAMILY FARMS LLC,1,1,,
,1292,JUSTIN BRUCE FARMS LLC,1,1,,
,1298,FREYOU FARMS,1,1,,
,1304,CHARLES A FONTENOT FARMS,1,1,,
,1307,AVOYELLES CRAWFISH & SEAFOOD LLC,1,1,,
,1311,WESLEY JONES FARMS,1,1,,
,1481,LACA LLC,1,1,,
,1493,ST MARY SUGAR COOPERATIVE INC,,1,,
,1507,(blank),1,1,,
,1557,LOUISIANA CTR FOR EQUINE REPRODUCT,1,1,,
,1568,POPE BROTHERS DAIRY LLC,2,2,,
,1675,CRAIG NEAL & SONS FARM LLC,1,1,,
,1728,CANE INC,1,1,,
,1767,M HYMEL & SONS INC,1,1,,
,1769,BRANDON HABETZ LLC,1,1,,
,1808,LUKE R SAYES,1,1,,
,1883,BORDELON S HONEY CO,1,1,,
,,BORDELON' S HONEY CO,,1,,
,1890,WAYNE LUTZ DBA LUTZ FARMS AND TRUC,1,1,,
,1956,HEBERT FARMS,1,1,,
,1958,ROBBIE T GASPARD,1,1,,
,1990,ROSS FREDERICK,1,1,,
,2000,LASUCA FARM L L C,1,1,,
,2210,WILLIAM J O BRIEN,1,1,,
,2260,LEVIN SAVOY FARM/CAJUN CLASSIC CRA,,1,,
,2287,GONS GO LLC,1,1,,
,2344,PATRICK CHURCHMAN,1,1,,
,2371,ARTALL FARMS LLC,1,1,,
,2459,GRADE A CRAWFISH,,1,,
,2534,AARON OLIVIER,1,1,,
,2539,PALO ALTO INC,1,1,,
,2542,MERRICK FARMS / T & M FARMS LLC,1,1,,
,2799,CARMOUCHE PLANTING CO,1,1,,
,2807,ECHO FARMS PARTNERSHIP,1,1,,
,2852,MELANCON SUGARCANE FARMS INC,1,1,,
,2856,LAVERGNE FARMS LLC,1,1,,
,2943,SOUTHDOWN PLANTATION LLC,1,1,,
,3018,JOHNDALES FARM,1,1,,
,3067,CIRCLE A FARM,1,1,,
,3091,KENT SOILEAU FARMS,1,1,,
,3108,TURF GRASS FARMS INC,1,1,,
,3126,LOUISIANA CRAWFISH CO,1,1,,
,3127,A & F FARMS INC,1,1,,
,3132,LIONEL MOUNIER JR FARM,1,1,,
,3144,DESHOTELS BROTHERS FARMS,1,1,,
,3157,TEE & SONS FARM INC,1,1,,
,3185,MONTE ROSINSKI FARMS LLC,1,1,,
,3194,RAYMOND FRUGE,1,1,,
,3195,AZUCAR INC,1,1,,
,3203,FOUR OAKS FARMS,2,2,,
,3221,PASSMORE FARMS,,1,,
,3240,KARL J HENSGENS,1,1,,
,3246,DUFECO PLANTING CO INC,1,1,,
,3251,JOHN GOODE FARMS PARTNERSHIP,1,1,,
,3257,BYRNE S MUDBUGS LLC,1,1,,
,3310,ENGEMANN FARMS,1,1,,
,3329,DOUBLE OAK GARDEN CTR DBA DOUBLE O,,1,,
,3353,C B & C FARMS LLC,1,1,,
,3369,MENARD FARM LLC,1,1,,
,3389,TAYLOR PLANTATION FARMS LLC,1,1,,
,3398,LEONARDS BROTHERS FARMS,1,1,,
,3450,HOLLEY II,1,1,,
,3485,KENNETH OLIVIER FARMS,,1,,
,3486,BIG LEAGUE CRAWFISH LLC,1,1,,
,3487,DENAIS FARMS / ACADIAN RICE MILL L,1,1,,
,3556,NEWTON CANE CO,1,1,,
,3557,KENNEY BOOK FARMS,1,1,,
,3586,JOSEPH O KENT FARMS,1,1,,
,3612,B & T SUGAR CANE FARMS INC,1,1,,
,3615,R DUGAS FAMILY FARM LLC,1,1,,
,3637,KARL A GLASER FARMS LLC,1,1,,
,3649,FIVE S FARMS,1,1,,
,3692,DAMIAN GLASER FARMS LLC,1,1,,
,3696,ROBBIE DEVILLIER FARMS AND SVCS LL,1,,,1
,3710,LONE PINE FARMS,1,1,,
,3714,HENNING MANAGEMENT LLC,1,1,,
,3751,JEREMY CRATON,,2,,
,3799,J & K SCHULTZ FARMS LLC,,1,,
,3894,BLANCHARD & PATOUT INC,1,1,,
,3961,ADELINE ENTERPRISES L L C,1,1,,
,,ADELINE ENTERPRISES LLC,,1,,
,,MATTHEW PERRON,,1,,
,3980,BLACK GOLD FARMS INC,2,1,,1
,4003,D & B FARMS GEN PTR,1,1,,
,4028,LIL E-Z FARM INC,1,1,,
,4045,T LANAUX & SON LLC,1,1,,
,4049,TRIPLE K & M FARMS INC,1,1,,
,4085,GIBKO NURSERY & SIGNS INC,,1,,
,4118,SUN GRP INVESTMENTS LLC,1,1,,
,4156,MEDINE FARMS INC,1,1,,
,4179,S&W BROWN FARMS LLC,1,1,,
,4197,JEFFERY NEWTON FARMS,1,1,,
,4205,HESS RANCH,1,1,,
,4245,DORE CRAWFISH FARMS LLC,,1,,
,4264,MICHAEL DWAIN BULLER,2,2,,
,4297,PURPERA FARMS LLC & SUGARWAY FARMS,1,1,,
,4306,BEN MERRICK FARMS LLC,1,1,,
,4353,EUGENE GRAVOIS SVCS INC,1,1,,
,4358,VARGAS NURSERY,2,2,,
,4390,LAURAN W ATTALES,1,1,,
,4465,KEVIN BLOOD FARMS,1,1,,
,4507,LOUISIANA AG GROUP GP,1,1,,
,4556,CASON TIMBER AND CATTLE CO,1,1,,
,4585,WELDING TESTING LAB DBA HENDERSON,1,1,,
,4605,DAVID HABETZ FARMS,,1,,
,4611,BEN LINK FAMRS LLC,1,1,,
,4675,LIMCO INC,,1,,
,4686,KNOTT S FARM INC,1,1,,
,4690,OLIVIA PLANTATION INC,1,1,,
,4713,DUCOTE S TREE FARM,1,1,,
,4714,NICKIE ROCKFORTE FARMS LLC,1,1,,
,4803,GREEN ACRES,1,1,,
,4810,C & J SMITH FARMS LLC,,1,,
,4850,LANDRY POCHE STRAWBERRY FARM INC,1,1,,
,4852,CLEVELAND THIBODEAUX JR,,1,,
,4884,LANDRY FARMS,1,1,,
,4918,CLINT FREYOU FARMS,1,1,,
,4961,RICKY JUDICE FARMS LLC,1,1,,
,4999,HAMBURG MILLS FARMS/ WAYSIDE FARMS,1,1,,
,5056,S & R FARMS LLC,,1,,
,5090,BONNE IDEE PRODUCE INC,1,1,,
,5130,DAUTERIVE CONTRACTORS INC,1,1,,
,5164,DARYL A DESHOTEL FARMS,1,,,1
,5231,RICKY RIVET FARMS,1,1,,
,5254,CRS LLC,1,1,,
,5257,"YOUNG HOLLOW NURSERY, INC.",1,1,,
,5270,CANEZARO BROTHER S FARMS LLC,1,1,,
,5485,E G ROBICHAUX LLC,1,1,,
,5486,SWEET RIVER FARMS INC,2,2,,
,5499,MARK MIXON DBA MIXON FARMS,1,1,,
,5507,GROS FARMS LLC,1,1,,
,5597,P & G ROY FARMS,1,1,,
,5623,DAVID J JARREAU FARMS,1,1,,
,5645,EARL ROY ENTERPRISES L L C,2,2,,
,5666,NEWTON PRODUCE LLC,2,2,,
,5688,Z FARMS LLC,2,2,,
,5706,F ZAUNBRECHER FARMS LLC,,1,,
,5910,WALET BROS INC,1,1,,
,5915,ANTHONY PLATTSMIER FARMS,1,1,,
,5919,BRIGNAC FARMS LL,1,1,,
,5932,B & T FARMS PARTNERSHIP,1,,,1
,5943,DEVAN MILLER,,1,,
,5981,NASH CATTLE CO LLC,1,1,,
,5987,E & L BIEBER FARMS LLC,1,1,,
,5993,"GLYNN RIVET & SONS, INC.",1,1,,
,6050,JACK RABBIT NURSERY LLC,1,1,,
,6082,HARANG SUGARS INC,1,1,,
,6113,J & P FARMS,2,2,,
,6194,DESHOTEL FARMS,1,1,,
,6200,MOUNGER FARMS,1,1,,
,6205,MISTRETTA FARMS,2,2,,
,6262,LANDRY FARMS LLC,1,,,1
,6269,"STAGG FARMS, INC",1,1,,
,6274,RODRIGUE PLANTING CO,1,1,,
,6326,DANIEL NAQUIN FARMS INC,1,1,,
,6401,CARLTONS CRAWFISH ENTERPRISES LLC,1,1,,
,6528,H & B FARMS LLC,,1,,
,6543,R SCHEXNAYDER & SONS LLC,1,1,,
,6565,GERALD FORET WHOLESALE NURSERY INC,1,1,,
,6591,RUSTIN CASSEDY DBA RUSTIN CASSEDY,1,1,,
,6623,JORDAN NEWTON INC & MIKE NEWTON FA,1,1,,
,6646,MCCAULEY FARM,1,1,,
,,MCCAULEY FARMS,,2,,
,6749,GARBER FARMS,1,1,,
,6840,ALMA PLANTATION LLC,1,1,,
,6855,HARRIS SEAFOOD DISTRIBUTION LLC DB,1,1,,
,6864,R&D FARMS,1,1,,
,6932,DENNIS FARMS PARTNERSHIP,2,2,,
,6935,GODEAUX & GUILLORY FARMS LLC,1,1,,
,6973,KINDER AGRICULTURAL SVC INC,1,1,,
,7036,DOUG YOUNG NURSERY,,,,1
,7041,RYLAND ENTERPRISES INC,1,1,,
,7091,STUTTS BROS FARMS PARTNERSHIP,1,1,,
,7107,FINKIE FARMS,1,1,,
,7117,GERACE FARMING LLC,1,1,,
,7134,CANNATELLA OUTDOORS LLC,1,1,,
,7171,TAYLOR SCAPES,1,1,,
,7225,TATE FARMS LLC,,1,,
,7228,SIMON FARMS LLC,1,1,,
,7240,U & R FARMS LLC,1,1,,
,7244,JOE BEAUD III FARMS LLC,1,1,,
,7301,BRANDON VALL DBA BV FARMS,1,1,,
,7339,HONEY CROSS FARMS PARTNERSHIP,1,1,,
,7368,WALNUT GROVE PLANTATION,1,1,,
,7559,T MILLER FARMS LLC,1,1,,
,7570,CAJUN GATORS INC,1,1,,
,,WESTBANK PLANTING COMPANY PARTNERS,1,1,,
,7586,KENNETH TAYLOR FARMS,1,1,,
,7616,TERRY P BLANCHARD FARMS,1,1,,
,7630,WEST TYLER DBA TYLER WEST FARMS,1,1,,
,7631,BOONE FARMS LLC,1,1,,
,7788,A & M FARMS INC,1,1,,
,7792,ELLIOT & CHRISTINA COLVIN,1,1,,
,7831,LOGAN FARMS PARTNERSHIP,1,1,,
,7890,BONANZA CRAWFISH LLC,3,3,,
,7901,EVERGREEN PROPERTIES LLC,1,1,,
,7923,D & D PLANTERS INC,1,1,,
,7932,ST LOUIS PLANTING INC,1,1,,
,7969,ANDERSON S PRODUCE & PLANT FARM,1,1,,
,7994,FONTENOT & BULLER FARMS GEN PTR,,1,,
,8031,MELANCON FARMS,1,1,,
,8045,L T FAMILY FARMS,,1,,
,8117,CYPERMORT PLANTING CO LLC,1,1,,
,8148,BELLE SOD COMPANY LLC,1,1,,
,8154,POWELL FARM PARTNERS LP,1,1,,
,8210,ROSOURCE ENVIRONMENTAL SOLUTIONS L,1,1,,
,,"ROSOURCE ENVIRONMENTAL SOLUTIONS,",1,1,,
,8211,FRANK PEARCE JR AND SONS FARMS INC,1,,,1
,8295,NUGENT TURTLE FARM LLC,1,1,,
,8384,TODD MORRIS FARMS,1,1,,
,8389,BYRON P ZAUNBRECHER FARMS,1,1,,
,8426,PATOUT PRICE & SMITH DBA TRIANGLE,1,1,,
,8471,RONALD R HEBERT INC,1,1,,
,,RONALD R HEBERT JR,,1,,
,8527,HMC FARMS LLC,1,1,,
,8534,CKC OF BASILE LLC,,1,,
,8548,DWIGHT HOLLIER FARMS,1,1,,
,8609,GLASER FARMS PARTNERSHIP,1,1,,
,8617,DOMINGUES FARMS,1,1,,
,8647,DENNIS HENSGENS FARMS,1,1,,
,8669,TREVOR B HAIR,,1,,
,8675,WESTOVER FARMS INC,1,1,,
,8708,JEFFERY G LEGER & JAMES T LEGER FA,,1,,
,8734,MARK CALLEGAN FARMS LLC,1,1,,
,8758,NATURES OWN NURSERY LLC,1,1,,
,8850,DENTON E & MONA B HADLEY PRTN,1,1,,
,8868,DENISON FARMS LLC,1,1,,
,8945,LUCKETT FARMS LLC,1,1,,
,8956,W J FARMS LLC,1,1,,
,8962,PARKER FARMS PARTNERSHIP WESTCO PA,1,1,,
,8966,MZ GROWERS PARTNERSHIP,1,1,,
,8971,RIVER ROAD RANCH INC,1,1,,
,8995,PAUL SCHEXNAYDER FARMS,1,1,,
,9068,BAIN FARMS PARTNERSHIP,1,1,,
,9090,THE LIRIOPE FACTORY INC,1,1,,
,9294,AUCOIN FARMS INC & KENNETH D SANDI,1,1,,
,9315,S&S CATTLE CO INC,1,1,,
,9391,SPIKE NOEL FARMS,1,1,,
,9414,SWEET B FARMS INC,1,1,,
,9426,SUGAR WEST INC,1,1,,
,9479,B & C UNLIMITED,1,1,,
,9517,BURT OUBRE FARMS,1,1,,
,9572,FRITZ ISLAND FARMS,,,,1
,9644,ALL REGIONS SVCS INC,1,1,,
,9666,(blank),,1,,
,9670,EDWARD J VINCENT FARMS,2,2,,
,9763,LEVERT ST JOHN FARMS INC,1,1,,
,9783,GERARD FREY FARMS,1,1,,
,9862,JOHN A RICHE FARM,1,1,,
,9868,TURNER BROTHERS FARMS,1,1,,
,9886,BERNARD S APIARIES INC,1,1,,
,9945,VERMILION GATOR FARMS INC,1,1,,
Louisiana Total,,,272,304,,11
Maine,2554,CHERRYFIELD FOODS INC,1,1,,
Maine Total,,,1,1,,
Maryland,,FRIENDLY HALL FARM LLC,1,1,,
,352,SCENIC VIEW ORCHARDS INC,1,1,,
,377,ROGER E WOLFE DBA PINE VALLEY FARM,1,1,,
,1083,BAUGHER ENTERPRISES INC,1,1,,
,1485,ALBRIGHT FARMS INC,1,1,,
,1519,WALLS NURSERIES LLC DBA PHYTO ECOL,1,1,,
,1691,MICHAEL W DICKINSON INC,1,1,,
,2430,RINEHART ORCHARDS INC,1,1,,
,2605,FRUITS & VEGETABLES BY LEWIS ORCHA,1,1,,
,3020,WEBERS CIDER MILL FARM INC,1,1,,
,3074,ONE STRAW FARM LLC,1,1,,
,3349,SHLAGEL FARMS,1,1,,
,3503,HARDING S ORCHARD LLC,1,1,,
,3920,"OLD WESTMINSTER WINERY, LLC",1,1,,
,4070,MANOR VIEW FARM INC,1,1,,
,4182,FOXBOROUGH NURSERY INC,1,1,,
,4371,ROCK HILL ORCHARD LLC,1,1,,
,4423,LARRILAND FARM INC,1,1,,
,4448,BUTLER S ORCHARD FARM,1,1,,
,4543,KING S TREE FARM,1,1,,
,4703,BLACK ANKLE VINEYARDS,1,1,,
,5456,GARDENHOUR ORCHARDS INC,1,1,,
,6124,RICHARDSON FARMS,1,1,,
,6329,BRADS PRODUCE LLC,1,1,,
,6387,KOINONIA PERTNERSHIP D B A GRAMERC,1,1,,
,6885,MOUNTAINSIDE FARM LLC,1,1,,
,7006,HOMESTEAD FARM & ORCHARD LLC,1,1,,
,7440,E WESLEY COHEE,1,1,,
,7639,CATOCTIN MOUNTAIN ORCHARD,1,1,,
,7703,HARMAN S PRODUCE LLC,1,1,,
,8775,MOUNTAIN VALLEY ORCHARD LLC,1,1,,
,8848,FREY AGRICUTURAL PRODUCTS INC,1,1,,
,9320,78 ACRES LLC,1,1,,
,9386,ANGELICA NURSERIES INC,1,1,,
,9731,WHITE HOUSE NURSERY,1,1,,
,9744,ARNOLD FARMS LLC,1,1,,
,9805,NEW MARKET PLAINS VINEYARDS LLC,1,1,,
Maryland Total,,,37,37,,
Michigan,,N J FOX & SONS INC / NOAH FOX,1,1,,
,170,FOGLERS ORCHARD AND FARM,1,1,,
,1227,MIKE PARRAN FARM DBA PARRAN S,1,1,,
,1497,DISTERHEFT FARMS LLC,1,1,,
,1623,HENRY ORCHARDS INC,1,,,1
,2021,REDPATH ORCHARDS / ALPERS FARMS LL,1,1,,
,2057,WAGENMAKER FARMS INC,1,1,,
,2343,42 NORTH APPLES LLC,1,1,,
,2397,HARBOR HILL FRUIT FARMS INC,1,1,,
,2406,BERVILLE FARMS LLC,1,,,1
,3612,"GRAJAUSKIS FARMS, INC.",1,1,,
,3971,IOTT FARMS INC,1,1,,
,5214,RAJZER FARMS LLC,1,1,,
,5489,ST JOE VALLEY APIARIES,1,1,,
,5588,JOHNSON FARMS,1,1,,
,5992,JON FIRST,1,1,,
,6104,THEUT S FLOWER BARN,1,1,,
,6208,NEW LEAF ORCHARDS LLC,1,2,,
,6571,FIRSKE ORCHARDS,1,1,,
,6732,A&B COSTANZA FARMS LLC,2,2,,
,6766,(blank),1,1,,
,6839,RUSSELL COSTANZA FARMS,1,1,,
,6918,WINDY RIDGE ORCHARDS,1,1,,
,7009,AGRIVINE INC,1,1,,
,7231,"ELLIS FAMILY FARMS, LLC",1,1,,
,8128,SVF INC,1,,,1
,8621,HART FARM LLC,1,1,,
,8942,LEITZ FARMS LLC,1,2,,
,9281,HAWKEYE FARMS LLC,1,,,1
,9303,JOE RASCH ORCHARDS INC,1,1,,
,9434,TODD GREINER FARMS PACKING LLC,1,1,,
,9609,MANZANA LLC,4,3,,1
,9827,BARTLEY FARMS,1,1,,
Michigan Total,,,37,34,,5
Minnesota,63,WALSH FARM LLC,1,1,,
,91,P & K FARM,1,1,,
,368,HANDY FARMS,1,1,,
,552,CARLSON HARVESTING INC,1,1,,
,672,BAILEY NURSERIES INC,3,3,,
,750,MONDA HONEY FARM INC,1,1,,
,883,CLINTON COX RANCH INC,1,,,1
,1003,ROBERT YAGGIE FARMS,1,1,,
,1254,PROSSER KUZNIA GP,1,1,,
,1586,ALLEN YAGGIE FARMS INC,1,1,,
,1648,FIELD BROTHERS FARMS DBA ROW AGRIC,1,1,,
,1836,SVIHEL VEGETABLE FARM INC.,1,1,,
,1988,FARMCO SUPPLY CO LLP,1,1,,
,2432,FOSSEN FARMS,1,1,,
,2500,VAN ERKEL FARMS INC,1,1,,
,2662,DL FARMS INC,1,1,,
,2670,CIDER HILL FARM,1,,,1
,2687,FISHER FARMS,1,1,,
,2806,DON YAGGIE FARMS,1,,,1
,2927,KARLEN RANCH,1,1,,
,2928,LUCAS SPITZER,1,1,,
,3043,BLUE HILL RANCH GP,1,1,,
,3539,JONSSON FARMS,1,1,,
,3663,DEERE FARMS INC,1,1,,
,3870,CHARLES STEIN,1,1,,
,3908,STEVEN EIDSNESS,1,1,,
,4064,D&H FIELD SVCS INC,1,1,,
,4131,MILL FARMS,1,1,,
,4196,TOWER HILL FARMS INC,1,1,,
,4208,RIVERVIEW LLP,6,6,,
,4547,WHEELER BROTHERS GRAIN CO,1,1,,
,4630,SCOTT HOWATT GRAIN FARMS,1,1,,
,5041,JERGENSON MINK RANCH INC,1,1,,
,5360,PUEPPKE FARMS,1,1,,
,5534,HOVE FARMS,1,,,1
,5843,SORUM FARMS,1,1,,
,5916,NISSEN FARMS,1,1,,
,6022,JIM WHITING NURSERY & GARDEN CTR I,1,1,,
,6038,THRONSON FARMS,1,1,,
,6050,JW SCOTT FARM,1,1,,
,6066,RAFFERTY FARMS,1,1,,
,6156,WESCOTT AGRI PRODUCTS INC,1,1,,
,6235,WILMER FARMS INC,1,,,1
,6447,SOUTHWIND ORCHARDS,2,2,,
,6454,LB PORK INC,1,1,,
,6553,ANDREW P MERRON,1,,,1
,6566,NOVAK S GROWN RIGHT VEGETABLES,1,1,,
,6573,SCHROEDER FARMS,1,1,,
,6776,NBBO FARMING,1,1,,
,6854,KAHNKE BROTHERS INC,1,1,,
